observation,workflow,ingest_demand,duration,channels,coarse_channels,demand,workflow_type,graph_type,data,data_distribution,nodes,dir,telescope,timestep,method,time
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,4979
hpso15,workflows/-5643670302229644219_2024-11-10_22-00-24,12,15840,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB.DPrepC,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,146
hpso22,workflows/2768866859543975590_2024-11-10_22-02-55,81,28800,65536,796,197,['prototype'],ICAL.DPrepA.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,1114
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,79989
hpso32,workflows/-2887030758418618714_2024-11-10_22-05-22,17,7920,65536,796,197,['prototype'],ICAL.DPrepB,False,standard,796,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,mid-adjusted,60,heft,78
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,4251
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,heft,26316
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,1,heft,131704
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,2531
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,heft,15969
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,30,heft,2531
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,5,heft,15969
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,2053
hpso01,workflows/-4798338277640702793_2024-11-10_21-49-39,118,18000,65536,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,8428
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,1201,
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,15,heft,4979
hpso02a,workflows/8988841495393588671_2024-11-10_21-53-08,59,18000,32768,896,512,['prototype'],ICAL.DPrepA.DPrepB.DPrepC.DPrepD,True,edges,896,/home/rwb/Dropbox/University/PhD/experiment_data/chapter3/maximal/all,low-adjusted,60,heft,1201
